	WT_R1	WT_R2	mutant_R1	mutant_R2
WBGene00044366	0.738600746608973	0.74555768620679	0	0
WBGene00018023	1.47720149321795	2.23667305862037	4.18259684428406	1.27610052119794
WBGene00005574	0.738600746608973	0.74555768620679	2.78839789618937	2.55220104239589
WBGene00198346	0	0	0	0
WBGene00005573	2.21580223982692	1.49111537241358	1.39419894809469	0
WBGene00005572	0.738600746608973	0.74555768620679	0	1.27610052119794
WBGene00005345	2.21580223982692	2.23667305862037	2.78839789618937	3.82830156359383
WBGene00021654	69.4284701812435	107.360306813778	128.266303224711	107.192443780627
WBGene00020227	0.738600746608973	0	11.1535915847575	7.65660312718767
WBGene00020228	0.738600746608973	0.74555768620679	1.39419894809469	0
WBGene00020229	0	0.74555768620679	0	1.27610052119794
WBGene00020230	5.17020522626281	3.72778843103395	8.36519368856812	5.10440208479178
WBGene00020231	0.738600746608973	3.72778843103395	1.39419894809469	0
WBGene00197438	0	0	0	0
WBGene00023130	2.95440298643589	2.23667305862037	0	0
WBGene00201160	0	0.74555768620679	0	0
WBGene00023129	1.47720149321795	1.49111537241358	1.39419894809469	5.10440208479178
WBGene00044367	2.95440298643589	3.72778843103395	4.18259684428406	0
WBGene00020232	1.47720149321795	0	1.39419894809469	0
WBGene00020233	2.95440298643589	0.74555768620679	2.78839789618937	3.82830156359383
WBGene00017915	0	1.49111537241358	0	0
WBGene00017914	0.738600746608973	0	0	0
WBGene00017916	97.4952985523845	98.4136145792963	105.959120055196	112.296845865419
WBGene00017913	0.738600746608973	1.49111537241358	0	0
WBGene00017917	0.738600746608973	0.74555768620679	0	0
WBGene00017918	0.738600746608973	1.49111537241358	0	1.27610052119794
WBGene00017912	17.7264179186154	7.4555768620679	1.39419894809469	3.82830156359383
WBGene00017911	25.8510261313141	39.5145573689599	4.18259684428406	8.93270364838561
WBGene00200475	0	0	0	0
WBGene00017249	16.2492164253974	8.94669223448148	1.39419894809469	3.82830156359383
WBGene00017250	2.95440298643589	0	0	0
WBGene00017251	21.4194216516602	19.3844998413765	4.18259684428406	5.10440208479178
WBGene00017252	84.200485113423	74.555768620679	16.7303873771362	19.1415078179692
WBGene00017253	8.86320895930768	10.4378076068951	2.78839789618937	7.65660312718767
WBGene00017254	0	1.49111537241358	0	1.27610052119794
WBGene00017247	0	0	0	0
WBGene00017248	0	0	0	0
WBGene00017246	0	0	0	0
WBGene00017255	5.17020522626281	7.4555768620679	4.18259684428406	10.2088041695836
WBGene00017245	158.799160520929	167.750479396528	126.872104276616	151.855962022555
WBGene00003709	3.69300373304487	2.23667305862037	5.57679579237874	3.82830156359383
WBGene00019691	0	0	0	0
WBGene00196074	0	0	0	0
WBGene00197295	0	0	0	0
WBGene00197071	0	0	0	0
WBGene00019683	16.9878171720064	11.1833652931019	16.7303873771362	22.969809381563
WBGene00019690	0.738600746608973	2.98223074482716	2.78839789618937	0
WBGene00001507	0.738600746608973	0	1.39419894809469	0
WBGene00044368	0	0	0	0
WBGene00019684	0	0	2.78839789618937	1.27610052119794
WBGene00019689	0	1.49111537241358	0	0
WBGene00019685	0.738600746608973	0.74555768620679	0	0
WBGene00019688	0.738600746608973	0	2.78839789618937	0
WBGene00019686	14.7720149321795	9.69224992068827	8.36519368856812	2.55220104239589
WBGene00019687	1.47720149321795	0.74555768620679	0	0
WBGene00168892	0.738600746608973	0	0	0
WBGene00022441	127.777929163352	143.89263343791	27.8839789618937	51.0440208479178
WBGene00022443	2.21580223982692	0.74555768620679	0	1.27610052119794
WBGene00022444	3.69300373304487	2.98223074482716	27.8839789618937	7.65660312718767
WBGene00004210	25.8510261313141	28.331192075858	9.7593926366628	12.7610052119794
WBGene00200083	0	0	0	0
WBGene00195503	0	0	0	0
WBGene00197619	0	0	0	0
WBGene00023203	0.738600746608973	0	0	0
WBGene00023204	2.95440298643589	3.72778843103395	4.18259684428406	1.27610052119794
WBGene00022442	0	0	0	0
WBGene00022445	0	0	1.39419894809469	0
WBGene00022440	0.738600746608973	5.21890380344753	0	1.27610052119794
